sourceFolderSlug	targetULID	targetLocationID	approvedToMigrate	note
brooklyn-bagel-7558			no	unresolved legacy folder
corden-budapest11-kozponti-laboratorium-3186			no	unresolved legacy folder; only Corden folder with useful media
helen-doron-budakeszi-7088			no	unresolved legacy folder
helen-doron-nagykovacsi-9457			no	unresolved legacy folder
hd-esztergom-2883			no	folder missing or unresolved
hd-debrecen-hadhazi-8910			no	folder missing or unresolved
hd-debrecen-darabos-4026			no	folder missing or unresolved
keves-andor-photography-9719			no	unresolved legacy folder
kismezo-budapest-9912			no	unresolved legacy folder
lupa-event-hall-1118			no	unresolved legacy folder
mak-restaurant-8055			no	unresolved legacy folder
obuda-synagogue-5811			no	unresolved legacy folder
platan-gourmet-restaurant-8179			no	unresolved legacy folder
rumour-by-racz-jeno-0603			no	unresolved legacy folder
sagrada-familia-4424			no	unresolved legacy folder
vibe-budapest-7954			no	unresolved legacy folder
world-of-souvenir-deak-1655			no	unresolved legacy folder
world-of-souvenir-kiraly-7451			no	unresolved legacy folder
